기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2011,합계,합계,"4,192,752","10,528,774","5,208,492","5,320,282","10,249,679","5,073,899","5,175,780","279,095","134,593","144,502",2.44,"1,049,425"
2011,종로구,소계,"76,688","177,419","88,107","89,312","168,382","83,931","84,451","9,037","4,176","4,861",2.20,"22,939"
2011,종로구,사직동,"4,646","10,602","4,963","5,639","10,150","4,701","5,449",452,262,190,2.18,"1,563"
2011,종로구,삼청동,"1,606","3,590","1,747","1,843","3,415","1,643","1,772",175,104,71,2.13,607
2011,종로구,부암동,"4,611","11,596","5,735","5,861","11,369","5,629","5,740",227,106,121,2.47,"1,570"
2011,종로구,평창동,"7,381",19996,9586,10410,19677,9443,10234,319,143,176,2.67,2586
2011,종로구,무악동,3271,8635,4139,4496,8562,4115,4447,73,24,49,2.62,1085
2011,종로구,교남동,4473,9250,4577,4673,9048,4493,4555,202,84,118,2.02,1326
2011,종로구,가회동,2469,5686,2725,2961,5555,2667,2888,131,58,73,2.25,853
2011,종로구,종로1.2.3.4가동,5213,9210,5215,3995,7923,4533,3390,1287,682,605,1.52,1552
2011,종로구,종로5·6가동,3140,6501,3469,3032,6156,3319,2837,345,150,195,1.96,917
2011,종로구,이화동,4551,9820,4708,5112,9252,4446,4806,568,262,306,2.03,1102
2011,종로구,혜화동,5827,13006,6274,6732,12172,5926,6246,834,348,486,2.09,1393
2011,종로구,명륜3가동,3496,7271,3710,3561,6246,3283,2963,1025,427,598,1.79,881
2011,종로구,창신1동,3611,8386,4333,4053,6854,3619,3235,1532,714,818,1.9,973
2011,종로구,창신2동,5055,12231,6170,6061,11486,5844,5642,745,326,419,2.27,1399
2011,종로구,창신3동,3147,8644,4292,4352,8549,4258,4291,95,34,61,2.72,945
2011,종로구,숭인1동,3297,8040,4007,4033,7450,3748,3702,590,259,331,2.26,859
2011,종로구,숭인2동,4834,9531,5005,4526,9258,4880,4378,273,125,148,1.92,1315
2011,종로구,청운효자동,6060,15424,7452,7972,15260,7384,7876,164,68,96,2.52,2013
2011,중구,소계,61475,141567,71137,70430,133193,67065,66128,8374,4072,4302,2.17,18099
2011,중구,소공동,696,1726,955,771,1301,689,612,425,266,159,1.87,159
2011,중구,회현동,3476,6485,3538,2947,5676,3111,2565,809,427,382,1.63,1111
2011,중구,명동,1702,4099,1955,2144,3411,1525,1886,688,430,258,2,609
2011,중구,필동,2435,5234,2770,2464,4616,2481,2135,618,289,329,1.9,718
2011,중구,장충동,2930,6084,3099,2985,5596,2880,2716,488,219,269,1.91,692
2011,중구,광희동,3125,6662,3493,3169,5698,3066,2632,964,427,537,1.82,907
2011,중구,을지로동,1405,2145,1312,833,2027,1261,766,118,51,67,1.44,405
2011,중구,신당1동,4126,10026,5080,4946,8187,4217,3970,1839,863,976,1.98,1076
2011,중구,신당2동,7302,17007,8402,8605,16647,8253,8394,360,149,211,2.28,2013
2011,중구,신당3동,8012,19742,9512,10230,19523,9417,10106,219,95,124,2.44,2642
2011,중구,신당4동,6510,16147,7788,8359,15991,7727,8264,156,61,95,2.46,2027
2011,중구,신당5동,4286,9683,4875,4808,9404,4746,4658,279,129,150,2.19,1206
2011,중구,신당6동,3847,10281,5028,5253,10144,4966,5178,137,62,75,2.64,1188
2011,중구,황학동,5887,13464,6863,6601,12523,6418,6105,941,445,496,2.13,1509
2011,중구,중림동,5736,12782,6467,6315,12449,6308,6141,333,159,174,2.17,1837
2011,용산구,소계,112617,259288,126735,132553,246501,120183,126318,12787,6552,6235,2.19,31837
2011,용산구,후암동,9188,20746,10361,10385,20156,10085,10071,590,276,314,2.19,2545
2011,용산구,용산2가동,6179,14192,6970,7222,13142,6371,6771,1050,599,451,2.13,1781
2011,용산구,남영동,5148,8344,4892,3452,7852,4668,3184,492,224,268,1.53,1181
2011,용산구,원효로2동,6093,16040,7660,8380,15815,7566,8249,225,94,131,2.6,1876
2011,용산구,효창동,4532,11536,5651,5885,11373,5581,5792,163,70,93,2.51,1381
2011,용산구,용문동,5232,13479,6611,6868,13311,6531,6780,168,80,88,2.54,1563
2011,용산구,이촌1동,9997,28617,13533,15084,27107,12681,14426,1510,852,658,2.71,3348
2011,용산구,이촌2동,4381,10537,5053,5484,10482,5029,5453,55,24,31,2.39,1456
2011,용산구,이태원1동,4503,10382,4938,5444,8556,3940,4616,1826,998,828,1.9,1444
2011,용산구,이태원2동,5428,11826,5587,6239,11213,5230,5983,613,357,256,2.07,1750
2011,용산구,서빙고동,5608,14574,7033,7541,14186,6850,7336,388,183,205,2.53,1872
2011,용산구,보광동,8707,18737,9112,9625,17825,8625,9200,912,487,425,2.05,2274
2011,용산구,청파동,11748,24667,11838,12829,23634,11469,12165,1033,369,664,2.01,2682
2011,용산구,원효로1동,5674,12814,6401,6413,12523,6263,6260,291,138,153,2.21,1343
2011,용산구,한강로동,7903,16549,8324,8225,15518,7802,7716,1031,522,509,1.96,2311
2011,용산구,한남동,12296,26248,12771,13477,23808,11492,12316,2440,1279,1161,1.94,3030
2011,성동구,소계,126148,308767,154511,154256,300711,150655,150056,8056,3856,4200,2.38,32767
2011,성동구,왕십리2동,7076,17661,8743,8918,17386,8623,8763,275,120,155,2.46,1829
2011,성동구,마장동,10248,26043,13057,12986,25495,12789,12706,548,268,280,2.49,2791
2011,성동구,사근동,5872,11722,6173,5549,10709,5706,5003,1013,467,546,1.82,1237
2011,성동구,행당1동,7573,18298,8979,9319,17750,8740,9010,548,239,309,2.34,2018
2011,성동구,행당2동,9687,27084,12992,14092,27015,12963,14052,69,29,40,2.79,2612
2011,성동구,응봉동,6585,17641,8486,9155,17581,8461,9120,60,25,35,2.67,1942
2011,성동구,금호1가동,6318,16255,7949,8306,16114,7893,8221,141,56,85,2.55,1876
2011,성동구,금호4가동,6267,15204,7493,7711,14969,7389,7580,235,104,131,2.39,1702
2011,성동구,성수1가1동,7453,18940,9741,9199,18301,9385,8916,639,356,283,2.46,1582
2011,성동구,성수1가2동,8122,19047,9631,9416,18712,9469,9243,335,162,173,2.3,1716
2011,성동구,성수2가1동,9230,22061,11428,10633,20998,10902,10096,1063,526,537,2.27,2040
2011,성동구,성수2가3동,5339,12282,6404,5878,11931,6193,5738,351,211,140,2.23,1283
2011,성동구,송정동,5691,12952,6805,6147,12308,6515,5793,644,290,354,2.16,1198
2011,성동구,용답동,7723,17995,9439,8556,16883,8912,7971,1112,527,585,2.19,1868
2011,성동구,왕십리도선동,5726,13202,6555,6647,12802,6376,6426,400,179,221,2.24,1687
2011,성동구,금호2.3가동,8229,20234,9828,10406,20002,9718,10284,232,110,122,2.43,2601
2011,성동구,옥수동,9009,22146,10808,11338,21755,10621,11134,391,187,204,2.41,2785
2011,광진구,소계,158472,386673,190867,195806,371936,184103,187833,14737,6764,7973,2.35,33613
2011,광진구,화양동,12754,24238,11861,12377,21109,10440,10669,3129,1421,1708,1.66,1862
2011,광진구,군자동,10155,22314,11309,11005,21388,10836,10552,926,473,453,2.11,2104
2011,광진구,중곡1동,7690,17509,8683,8826,16769,8366,8403,740,317,423,2.18,1642
2011,광진구,중곡2동,9607,23190,11397,11793,22997,11317,11680,193,80,113,2.39,1976
2011,광진구,중곡3동,8258,19391,9738,9653,19211,9665,9546,180,73,107,2.33,1799
2011,광진구,중곡4동,12622,32162,15975,16187,32003,15921,16082,159,54,105,2.54,3055
2011,광진구,능동,5531,11328,5374,5954,11062,5254,5808,266,120,146,2,1112
2011,광진구,구의1동,10883,23963,11555,12408,22888,11081,11807,1075,474,601,2.1,2146
2011,광진구,구의2동,10730,27274,13501,13773,26931,13392,13539,343,109,234,2.51,2705
2011,광진구,구의3동,11561,30410,14795,15615,30158,14673,15485,252,122,130,2.61,2524
2011,광진구,광장동,11575,35652,17434,18218,35406,17317,18089,246,117,129,3.06,2611
2011,광진구,자양1동,11232,27707,13680,14027,24583,12202,12381,3124,1478,1646,2.19,2404
2011,광진구,자양2동,11614,29497,14748,14749,29216,14622,14594,281,126,155,2.52,2449
2011,광진구,자양3동,11694,32443,15922,16521,32046,15738,16308,397,184,213,2.74,2450
2011,광진구,자양4동,12566,29595,14895,14700,26169,13279,12890,3426,1616,1810,2.08,2774
2011,동대문구,소계,157823,378534,189538,188996,365486,183925,181561,13048,5613,7435,2.32,44368
2011,동대문구,회기동,5769,12673,6029,6644,11224,5443,5781,1449,586,863,1.95,1285
2011,동대문구,휘경1동,8135,18212,9023,9189,17033,8531,8502,1179,492,687,2.09,2025
2011,동대문구,휘경2동,10181,25314,12439,12875,25010,12321,12689,304,118,186,2.46,2520
2011,동대문구,청량리동,10846,25648,12851,12797,24628,12358,12270,1020,493,527,2.27,4125
2011,동대문구,용신동,16016,34032,17565,16467,32463,16846,15617,1569,719,850,2.03,4543
2011,동대문구,제기동,13046,29736,15064,14672,28064,14341,13723,1672,723,949,2.15,4065
2011,동대문구,전농1동,12888,27915,14359,13556,27299,14087,13212,616,272,344,2.12,3941
2011,동대문구,전농2동,7774,21688,10572,11116,21500,10503,10997,188,69,119,2.77,2544
2011,동대문구,답십리1동,8849,21123,10599,10524,20534,10339,10195,589,260,329,2.32,2546
2011,동대문구,답십리2동,12277,32629,16191,16438,32403,16103,16300,226,88,138,2.64,3724
2011,동대문구,장안1동,14731,38142,19193,18949,37188,18796,18392,954,397,557,2.52,3700
2011,동대문구,장안2동,12958,33121,16747,16374,32901,16674,16227,220,73,147,2.54,3170
2011,동대문구,이문1동,15544,34413,17051,17362,31925,15977,15948,2488,1074,1414,2.05,3711
2011,동대문구,이문2동,8809,23888,11855,12033,23314,11606,11708,574,249,325,2.65,2469
2011,중랑구,소계,175115,428672,214258,214414,423706,212291,211415,4966,1967,2999,2.42,43745
2011,중랑구,면목2동,12233,29071,14689,14382,28410,14377,14033,661,312,349,2.32,2822
2011,중랑구,면목4동,10134,23507,11607,11900,23265,11510,11755,242,97,145,2.3,2412
2011,중랑구,면목5동,6208,14540,7443,7097,14375,7394,6981,165,49,116,2.32,1506
2011,중랑구,면목7동,10804,26336,13099,13237,26138,13037,13101,198,62,136,2.42,2747
2011,중랑구,상봉1동,9369,26267,12969,13298,25945,12829,13116,322,140,182,2.77,2358
2011,중랑구,상봉2동,9131,18886,9618,9268,18652,9517,9135,234,101,133,2.04,2066
2011,중랑구,중화1동,8327,22129,11001,11128,21652,10806,10846,477,195,282,2.6,2016
2011,중랑구,중화2동,14657,31747,16302,15445,31261,16101,15160,486,201,285,2.13,3562
2011,중랑구,묵1동,13546,36080,17771,18309,35809,17654,18155,271,117,154,2.64,3604
2011,중랑구,묵2동,8449,20284,10111,10173,20157,10077,10080,127,34,93,2.39,2201
2011,중랑구,망우3동,8382,19719,9899,9820,19566,9846,9720,153,53,100,2.33,2071
2011,중랑구,신내1동,11060,32513,16101,16412,32290,15995,16295,223,106,117,2.92,3243
2011,중랑구,신내2동,9333,25532,12488,13044,25465,12462,13003,67,26,41,2.73,2447
2011,중랑구,면목본동,16210,37519,18690,18829,36808,18437,18371,711,253,458,2.27,3729
2011,중랑구,면목3.8동,12785,30005,15020,14985,29767,14933,14834,238,87,151,2.33,3248
2011,중랑구,망우본동,14487,34537,17450,17087,34146,17316,16830,391,134,257,2.36,3713
2011,성북구,소계,199398,494422,243639,250783,485171,239726,245445,9251,3913,5338,2.43,55213
2011,성북구,돈암1동,6340,16891,8160,8731,16691,8078,8613,200,82,118,2.63,1961
2011,성북구,돈암2동,8221,24140,11704,12436,24056,11675,12381,84,29,55,2.93,2298
2011,성북구,안암동,8845,18521,9322,9199,16933,8610,8323,1588,712,876,1.91,1830
2011,성북구,보문동,6893,14969,7422,7547,14569,7270,7299,400,152,248,2.11,1751
2011,성북구,정릉1동,7710,21170,10214,10956,20503,9948,10555,667,266,401,2.66,2290
2011,성북구,정릉2동,9678,24806,12291,12515,24692,12243,12449,114,48,66,2.55,2966
2011,성북구,정릉3동,7989,18651,9311,9340,17993,9000,8993,658,311,347,2.25,2456
2011,성북구,정릉4동,10933,28253,13898,14355,28061,13816,14245,192,82,110,2.57,3238
2011,성북구,길음1동,12974,37481,18301,19180,37168,18173,18995,313,128,185,2.86,3149
2011,성북구,길음2동,9028,20670,10189,10481,20450,10107,10343,220,82,138,2.27,2446
2011,성북구,월곡1동,11076,29408,14566,14842,29057,14419,14638,351,147,204,2.62,3132
2011,성북구,월곡2동,8752,21823,10766,11057,21614,10681,10933,209,85,124,2.47,2563
2011,성북구,장위1동,10556,27060,13440,13620,26603,13259,13344,457,181,276,2.52,2999
2011,성북구,장위2동,9563,23412,11825,11587,23217,11749,11468,195,76,119,2.43,2872
2011,성북구,장위3동,8057,19718,10073,9645,19495,9975,9520,223,98,125,2.42,2377
