기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2016,합계,합계,"4,189,839","10,204,057","5,007,379","5,196,678","9,930,616","4,876,789","5,053,827","273,441","130,590","142,851",2.37,"1,300,877"
2016,종로구,소계,"72,118","161,922","79,322","82,600","152,737","75,201","77,536","9,185","4,121","5,064",2.12,"25,091"
2016,종로구,사직동,"4,399","10,013","4,605","5,408","9,695","4,429","5,266",318,176,142,2.20,"1,707"
2016,종로구,삼청동,"1,403","3,118","1,491","1,627","2,903","1,377","1,526",215,114,101,2.07,624
2016,종로구,부암동,"4,371","11,044","5,349","5,695","10,616","5,160","5,456",428,189,239,2.43,"1,723"
2016,종로구,평창동,"7,537",19457,9220,10237,19290,9140,10150,167,80,87,2.56,2952
2016,종로구,무악동,3056,8516,3998,4518,8453,3975,4478,63,23,40,2.77,1206
2016,종로구,교남동,2268,4748,2257,2491,4679,2229,2450,69,28,41,2.06,888
2016,종로구,가회동,2131,4780,2225,2555,4635,2150,2485,145,75,70,2.18,878
2016,종로구,종로1.2.3.4가동,5384,8727,5077,3650,7741,4513,3228,986,564,422,1.44,1814
2016,종로구,종로5·6가동,3170,5775,3158,2617,5496,3035,2461,279,123,156,1.73,1089
2016,종로구,이화동,4443,8927,4198,4729,8436,3968,4468,491,230,261,1.9,1259
2016,종로구,창신1동,3132,6590,3543,3047,5744,3112,2632,846,431,415,1.83,1101
2016,종로구,창신2동,4391,10701,5413,5288,9545,4870,4675,1156,543,613,2.17,1566
2016,종로구,창신3동,2894,7753,3879,3874,7560,3778,3782,193,101,92,2.61,1068
2016,종로구,숭인1동,3062,7109,3531,3578,6761,3363,3398,348,168,180,2.21,1036
2016,종로구,숭인2동,5527,10148,5119,5029,9679,4934,4745,469,185,284,1.75,1567
2016,종로구,청운효자동,5658,14111,6714,7397,13769,6503,7266,342,211,131,2.43,2093
2016,종로구,혜화동,9292,20405,9545,10860,17735,8665,9070,2670,880,1790,1.91,2520
2016,중구,소계,59651,134409,66452,67957,125249,62204,63045,9160,4248,4912,2.1,20606
2016,중구,소공동,989,2596,1376,1220,1931,971,960,665,405,260,1.95,229
2016,중구,회현동,3372,6128,3390,2738,5481,3037,2444,647,353,294,1.63,1316
2016,중구,명동,1440,3524,1577,1947,3007,1303,1704,517,274,243,2.09,651
2016,중구,필동,2301,5120,2530,2590,4210,2159,2051,910,371,539,1.83,780
2016,중구,장충동,2723,5845,2843,3002,4970,2527,2443,875,316,559,1.83,756
2016,중구,광희동,2947,6031,3089,2942,5105,2683,2422,926,406,520,1.73,1067
2016,중구,을지로동,1205,1826,1131,695,1694,1067,627,132,64,68,1.41,423
2016,중구,신당5동,4583,10164,5069,5095,9797,4895,4902,367,174,193,2.14,1478
2016,중구,황학동,6099,13217,6554,6663,12269,6113,6156,948,441,507,2.01,1720
2016,중구,중림동,4211,8902,4501,4401,8607,4338,4269,295,163,132,2.04,1543
2016,중구,신당동,4219,9429,4706,4723,7861,3996,3865,1568,710,858,1.86,1205
2016,중구,다산동,6930,15956,7747,8209,15342,7487,7855,614,260,354,2.21,2326
2016,중구,약수동,7845,18796,8985,9811,18487,8828,9659,309,157,152,2.36,3194
2016,중구,청구동,6472,15233,7293,7940,15011,7212,7799,222,81,141,2.32,2346
2016,중구,동화동,4315,11642,5661,5981,11477,5588,5889,165,73,92,2.66,1572
2016,용산구,소계,106607,245102,119636,125466,230241,111601,118640,14861,8035,6826,2.16,35915
2016,용산구,후암동,8665,19308,9534,9774,18752,9243,9509,556,291,265,2.16,2871
2016,용산구,용산2가동,5628,12746,6210,6536,11371,5446,5925,1375,764,611,2.02,1952
2016,용산구,남영동,5452,8762,5269,3493,8064,4952,3112,698,317,381,1.48,1434
2016,용산구,원효로2동,6047,15512,7283,8229,15355,7222,8133,157,61,96,2.54,2163
2016,용산구,효창동,3799,9566,4643,4923,9426,4586,4840,140,57,83,2.48,1369
2016,용산구,용문동,5221,12862,6199,6663,12710,6132,6578,152,67,85,2.43,1819
2016,용산구,이촌1동,10050,29134,13623,15511,27880,12948,14932,1254,675,579,2.77,4017
2016,용산구,이촌2동,3888,9380,4442,4938,9290,4403,4887,90,39,51,2.39,1612
2016,용산구,이태원1동,3951,8806,4379,4427,7326,3432,3894,1480,947,533,1.85,1442
2016,용산구,이태원2동,4870,11004,5237,5767,9596,4459,5137,1408,778,630,1.97,1825
2016,용산구,서빙고동,5292,14507,7041,7466,13827,6681,7146,680,360,320,2.61,2017
2016,용산구,보광동,8012,16988,8477,8511,15806,7737,8069,1182,740,442,1.97,2600
2016,용산구,청파동,10697,21913,10414,11499,21039,10110,10929,874,304,570,1.97,3057
2016,용산구,원효로1동,6581,14717,7212,7505,14129,6906,7223,588,306,282,2.15,1703
2016,용산구,한강로동,7659,16463,8193,8270,14899,7380,7519,1564,813,751,1.95,2745
2016,용산구,한남동,10795,23434,11480,11954,20771,9964,10807,2663,1516,1147,1.92,3289
2016,성동구,소계,128727,307161,152006,155155,299259,148326,150933,7902,3680,4222,2.32,39262
2016,성동구,왕십리2동,6922,16917,8335,8582,16575,8186,8389,342,149,193,2.39,2184
2016,성동구,마장동,10271,24569,12121,12448,23816,11805,12011,753,316,437,2.32,3279
2016,성동구,사근동,6429,12722,6478,6244,11187,5840,5347,1535,638,897,1.74,1410
2016,성동구,행당1동,6283,14708,7214,7494,14255,7016,7239,453,198,255,2.27,2025
2016,성동구,행당2동,9341,25748,12191,13557,25647,12150,13497,101,41,60,2.75,3154
2016,성동구,응봉동,6255,16921,8095,8826,16854,8066,8788,67,29,38,2.69,2260
