기간,자치구,동,총전입,총전출,구내전입,구내전출,구간전입,구간전출,시/도간전입,시/도간전출
2011,합계,합계,1721748,1834806,543807,543807,671315,671315,506626,619684
2011,종로구,소계,28329,30663,5551,5551,14089,16214,8689,8898
2011,종로구,사직동,2115,2215,467,487,1047,1133,601,595
2011,종로구,삼청동,495,605,114,147,237,289,144,169
2011,종로구,부암동,1900,1939,545,467,892,933,463,539
2011,종로구,평창동,2984,2875,519,472,1657,1520,808,883
2011,종로구,무악동,1333,1452,191,181,817,927,325,344
2011,종로구,교남동,1455,1549,197,149,815,942,443,458
2011,종로구,가회동,808,945,149,208,434,480,225,257
2011,종로구,종로1.2.3.4가동,1814,1855,189,228,950,1003,675,624
2011,종로구,종로5·6가동,965,1107,194,208,405,565,366,334
2011,종로구,이화동,1799,1910,351,313,778,1055,670,542
2011,종로구,혜화동,2555,2508,361,327,1200,1338,994,843
2011,종로구,명륜3가동,1332,1410,204,248,486,614,642,548
2011,종로구,창신1동,1057,1307,355,346,435,656,267,305
2011,종로구,창신2동,1281,1612,399,367,524,762,358,483
2011,종로구,창신3동,1119,1273,276,284,580,671,263,318
2011,종로구,숭인1동,1290,1479,294,344,684,769,312,366
2011,종로구,숭인2동,1728,1847,252,168,1035,1162,441,517
2011,종로구,청운효자동,2299,2775,494,607,1113,1395,692,773
2011,중구,소계,23613,23618,4383,4383,12710,12349,6520,6886
2011,중구,소공동,457,429,14,12,285,289,158,128
2011,중구,회현동,1168,986,90,93,681,634,397,259
2011,중구,명동,621,643,63,68,303,371,255,204
2011,중구,필동,958,1026,132,183,451,503,375,340
2011,중구,장충동,1126,1216,244,225,371,558,511,433
2011,중구,광희동,1069,1122,201,237,515,567,353,318
2011,중구,을지로동,413,390,39,35,227,212,147,143
2011,중구,신당1동,1365,1594,426,447,618,724,321,423
2011,중구,신당2동,2796,3052,654,724,1413,1502,729,826
2011,중구,신당3동,2844,3097,392,504,1724,1614,728,979
2011,중구,신당4동,2341,2639,556,669,1205,1275,580,695
2011,중구,신당5동,2492,1318,588,348,1483,652,421,318
2011,중구,신당6동,2024,1597,651,484,989,701,384,412
2011,중구,황학동,2194,2449,279,309,1318,1387,597,753
2011,중구,중림동,1745,2060,54,45,1127,1360,564,655
2011,용산구,소계,45054,44509,10048,10048,20960,19444,14046,15017
2011,용산구,후암동,3071,3342,836,776,1244,1348,991,1218
