,2008년12월_총인구수,2009년12월_총인구수,2010년12월_총인구수,2011년12월_총인구수,2012년12월_총인구수,2013년12월_총인구수,2014년12월_총인구수,2015년12월_총인구수,2016년12월_총인구수,2017년12월_총인구수,행정구역
1,1067.0,1095.0,1257.0,1301.0,1357.0,1339.0,1278.0,1248.0,1931.0,2022.0,서울특별시 중구 소공동(1114052000)
2,4496.0,4429.0,5537.0,5676.0,5892.0,5892.0,5795.0,5594.0,5481.0,5331.0,서울특별시 중구 회현동(1114054000)
3,2801.0,2892.0,3445.0,3411.0,3392.0,3279.0,3088.0,3010.0,3007.0,2942.0,서울특별시 중구 명동(1114055000)
4,4636.0,4551.0,4675.0,4616.0,4573.0,4484.0,4418.0,4300.0,4210.0,4078.0,서울특별시 중구 필동(1114057000)
5,5793.0,5742.0,5675.0,5596.0,5583.0,5551.0,5314.0,5175.0,4970.0,4782.0,서울특별시 중구 장충동(1114058000)
6,5019.0,5165.0,5758.0,5698.0,5603.0,5364.0,5167.0,4980.0,5105.0,5001.0,서울특별시 중구 광희동(1114059000)
7,1824.0,1906.0,2009.0,2027.0,1978.0,1901.0,1794.0,1731.0,1694.0,1623.0,서울특별시 중구 을지로동(1114060500)
8,8372.0,8408.0,8403.0,8187.0,7857.0,,,,,,서울특별시 중구 신당제1동(1114061000)
9,0.0,,,,,7640.0,7353.0,7549.0,7861.0,7878.0,서울특별시 중구 신당동(1114061500)
10,16992.0,16964.0,16823.0,16647.0,16403.0,,,,,,서울특별시 중구 신당제2동(1114062000)
11,0.0,,,,,16163.0,15814.0,15492.0,15342.0,14923.0,서울특별시 중구 다산동(1114062500)
12,20043.0,19655.0,19676.0,19523.0,19421.0,,,,,,서울특별시 중구 신당제3동(1114063000)
13,0.0,,,,,19030.0,18893.0,18720.0,18487.0,18181.0,서울특별시 중구 약수동(1114063500)
14,16426.0,16418.0,16211.0,15991.0,15853.0,,,,,,서울특별시 중구 신당제4동(1114064000)
15,0.0,,,,,15598.0,15394.0,15367.0,15011.0,14807.0,서울특별시 중구 청구동(1114064500)
16,8456.0,8132.0,8221.0,9404.0,10435.0,10397.0,10433.0,10096.0,9797.0,9495.0,서울특별시 중구 신당제5동(1114065000)
17,10151.0,9666.0,9686.0,10144.0,11913.0,,,,,,서울특별시 중구 신당제6동(1114066000)
18,0.0,,,,,11913.0,11734.0,11510.0,11477.0,11197.0,서울특별시 중구 동화동(1114066500)
19,11454.0,11864.0,12705.0,12523.0,12323.0,12259.0,12316.0,12305.0,12269.0,12170.0,서울특별시 중구 황학동(1114067000)
