지역,구분,2009,2010,2011,2012,2013,2014,2015,2016,2017
연남동,총전입,4149,3878,3748,3672,3516,3343,3284,3173,2976
연남동,총전출,4369,4344,4123,3956,3617,3898,3999,3809,3773
연남동,구내전입,1154,1088,1113,1093,993,919,905,829,742
연남동,구내전출,1301,1298,1229,1102,902,1094,1036,922,922
연남동,구간전입,1688,1645,1501,1385,1441,1252,1307,1141,1078
연남동,구간전출,1716,1701,1644,1619,1497,1516,1767,1754,1619
연남동,시/도간전입,1307,1145,1134,1194,1082,1172,1072,1203,1156
연남동,시/도간전출,1352,1345,1250,1235,1218,1288,1196,1133,1232
연남동,총전입-전출,-220,-466,-375,-284,-101,-555,-715,-636,-797
연남동,구내전입-전출,-147,-210,-116,-9,91,-175,-131,-93,-180
연남동,구간전입-전출,-28,-56,-143,-234,-56,-264,-460,-613,-541
연남동,시/도간전입-전출,-45,-200,-116,-41,-136,-116,-124,70,-76
종로1.2.3.4가동,총전입,1880,1815,1814,1732,1686,1951,1872,1757,1690
종로1.2.3.4가동,총전출,1882,1876,1855,1677,1756,1892,1922,1909,1774
종로1.2.3.4가동,구내전입,199,229,189,180,183,190,184,128,136
종로1.2.3.4가동,구내전출,218,212,228,231,218,224,287,250,264
종로1.2.3.4가동,구간전입,950,889,950,844,839,808,821,856,757
종로1.2.3.4가동,구간전출,1016,1014,1003,891,926,996,960,974,870
종로1.2.3.4가동,시/도간전입,731,697,675,708,664,953,867,773,797
종로1.2.3.4가동,시/도간전출,648,650,624,555,612,672,675,685,640
종로1.2.3.4가동,총전입-전출,-2,-61,-41,55,-70,59,-50,-152,-84
종로1.2.3.4가동,구내전입-전출,-19,17,-39,-51,-35,-34,-103,-122,-128
종로1.2.3.4가동,구간전입-전출,-66,-125,-53,-47,-87,-188,-139,-118,-113
종로1.2.3.4가동,시/도간전입-전출,83,47,51,153,52,281,192,88,157
종로5·6가동,총전입,1105,1126,965,1038,892,870,1129,920,989
종로5·6가동,총전출,1290,1276,1107,1055,1069,1032,1142,1137,1093
종로5·6가동,구내전입,235,235,194,225,203,155,175,163,174
종로5·6가동,구내전출,300,291,208,204,258,212,272,281,219
종로5·6가동,구간전입,516,552,405,447,374,354,410,342,363
종로5·6가동,구간전출,605,659,565,511,519,487,492,493,516
종로5·6가동,시/도간전입,354,339,366,366,315,361,544,415,452
종로5·6가동,시/도간전출,385,326,334,340,292,333,378,363,358
종로5·6가동,총전입-전출,-185,-150,-142,-17,-177,-162,-13,-217,-104
종로5·6가동,구내전입-전출,-65,-56,-14,21,-55,-57,-97,-118,-45
종로5·6가동,구간전입-전출,-89,-107,-160,-64,-145,-133,-82,-151,-153
종로5·6가동,시/도간전입-전출,-31,13,32,26,23,28,166,52,94
성수1가2동,총전입,3300,3241,2963,2897,2696,2639,2568,2463,2306
성수1가2동,총전출,3829,3706,3414,3207,3222,3235,3322,3053,2923
성수1가2동,구내전입,825,690,740,637,677,660,617,575,543
성수1가2동,구내전출,853,694,745,664,633,754,845,735,772
성수1가2동,구간전입,1391,1448,1233,1298,1152,1172,1116,1112,979
성수1가2동,구간전출,1694,1746,1603,1393,1473,1413,1396,1293,1264
성수1가2동,시/도간전입,1084,1103,990,962,867,807,835,776,784
성수1가2동,시/도간전출,1282,1266,1066,1150,1116,1068,1081,1025,887
성수1가2동,총전입-전출,-529,-465,-451,-310,-526,-596,-754,-590,-617
성수1가2동,구내전입-전출,-28,-4,-5,-27,44,-94,-228,-160,-229
성수1가2동,구간전입-전출,-303,-298,-370,-95,-321,-241,-280,-181,-285
성수1가2동,시/도간전입-전출,-198,-163,-76,-188,-249,-261,-246,-249,-103
낙성대동,총전입,4744,4760,4549,4390,4239,4330,4479,4298,4196
낙성대동,총전출,5106,4877,4737,4527,4392,4599,4714,4477,4573
낙성대동,구내전입,1379,1329,1215,1135,1066,1217,1352,1163,1127
낙성대동,구내전출,1539,1436,1440,1348,1322,1372,1568,1405,1584
낙성대동,구간전입,1272,1384,1287,1139,1177,1122,1199,1070,1083
낙성대동,구간전출,1782,1539,1522,1450,1385,1498,1385,1345,1416
낙성대동,시/도간전입,2093,2047,2047,2116,1996,1991,1928,2065,1986
낙성대동,시/도간전출,1785,1902,1775,1729,1685,1729,1761,1727,1573
낙성대동,총전입-전출,-362,-117,-188,-137,-153,-269,-235,-179,-377
낙성대동,구내전입-전출,-160,-107,-225,-213,-256,-155,-216,-242,-457
낙성대동,구간전입-전출,-510,-155,-235,-311,-208,-376,-186,-275,-333
낙성대동,시/도간전입-전출,308,145,272,387,311,262,167,338,413
망원1동,총전입,4626,4549,4409,4016,3873,3678,3701,3692,3290
망원1동,총전출,4914,4911,4884,4438,4284,4630,4639,4231,3784
망원1동,구내전입,1840,1775,1804,1585,1636,1501,1611,1558,1266
망원1동,구내전출,1719,1856,1752,1425,1403,1794,1708,1432,1228
망원1동,구간전입,1452,1504,1447,1295,1208,1096,1146,1078,1068
망원1동,구간전출,1596,1469,1615,1498,1380,1488,1570,1473,1359
망원1동,시/도간전입,1334,1270,1158,1136,1029,1081,944,1056,956
망원1동,시/도간전출,1599,1586,1517,1515,1501,1348,1361,1326,1197
망원1동,총전입-전출,-288,-362,-475,-422,-411,-952,-938,-539,-494
망원1동,구내전입-전출,121,-81,52,160,233,-293,-97,126,38
망원1동,구간전입-전출,-144,35,-168,-203,-172,-392,-424,-395,-291
망원1동,시/도간전입-전출,-265,-316,-359,-379,-472,-267,-417,-270,-241
망원2동,총전입,3974,3556,3314,2922,2997,3155,3099,2978,2424
망원2동,총전출,3673,4108,3631,3426,3406,3302,3513,3388,2952
망원2동,구내전입,1692,1472,1401,1291,1322,1482,1464,1426,1009
망원2동,구내전출,1305,1412,1199,1076,1177,1153,1194,1124,979
망원2동,구간전입,1313,1141,1071,832,967,903,885,793,741
망원2동,구간전출,1291,1308,1231,1127,1164,1057,1243,1181,981
망원2동,시/도간전입,969,943,842,799,708,770,750,759,674
망원2동,시/도간전출,1077,1388,1201,1223,1065,1092,1076,1083,992
망원2동,총전입-전출,301,-552,-317,-504,-409,-147,-414,-410,-528
망원2동,구내전입-전출,387,60,202,215,145,329,270,302,30
망원2동,구간전입-전출,22,-167,-160,-295,-197,-154,-358,-388,-240
망원2동,시/도간전입-전출,-108,-445,-359,-424,-357,-322,-326,-324,-318
사직동,총전입,2140,2041,2115,1811,1665,1694,1708,1725,1733
사직동,총전출,2076,2261,2215,1979,1872,1840,1840,1790,1993
사직동,구내전입,448,433,467,415,406,377,294,290,315
사직동,구내전출,402,445,487,417,360,360,364,301,517
사직동,구간전입,1087,1017,1047,924,828,833,967,928,899
사직동,구간전출,1160,1209,1133,997,990,1003,1030,988,993
사직동,시/도간전입,605,591,601,472,431,484,447,507,519
사직동,시/도간전출,514,607,595,565,522,477,446,501,483
사직동,총전입-전출,64,-220,-100,-168,-207,-146,-132,-65,-260
사직동,구내전입-전출,46,-12,-20,-2,46,17,-70,-11,-202
사직동,구간전입-전출,-73,-192,-86,-73,-162,-170,-63,-60,-94
사직동,시/도간전입-전출,91,-16,6,-93,-91,7,1,6,36
